,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
365,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
366,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
367,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
368,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
369,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
370,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
371,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
372,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
373,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
374,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
375,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
376,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
377,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
378,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
379,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
380,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
381,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
382,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
383,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
384,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
385,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
386,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
387,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
388,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
389,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
390,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
391,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
392,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
393,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
394,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
